Setup Margin (ns),Hold Margin (ns),Data R/F,Transfer Net,Driver,Receiver,UI (ns),Min Data Etch Delay (ns),Max Data Etch Delay (ns),Min Tco (ns),Max Tco (ns),Setup (ns),Hold (ns),Setup Skew (ns),Hold Skew (ns),Source Clock Net,Target Clock Net,Simulation,Corner
5.658,1.730,F,CS,designator1,designator2,10.000,0.330,0.642,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.463,1.924,R,CS,designator1,designator2,10.000,0.524,0.837,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.470,1.929,F,CS,designator1,designator2,10.000,0.529,0.830,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.297,2.075,R,CS,designator1,designator2,10.000,0.675,1.003,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.294,2.099,F,CS,designator1,designator2,10.000,0.699,1.006,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.167,2.213,R,CS,designator1,designator2,10.000,0.813,1.133,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
5.178,2.217,F,CS,designator1,designator2,10.000,0.817,1.122,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
3.770,3.328,R,DQ,designator1,designator2,10.000,-0.072,0.530,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.500,3.369,F,DQ,designator1,designator2,10.000,-0.031,0.800,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.583,3.518,R,DQ,designator1,designator2,10.000,0.118,0.717,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.420,3.566,F,DQ,designator1,designator2,10.000,0.166,0.880,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.370,3.727,R,DQ,designator1,designator2,10.000,0.327,0.930,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
3.186,3.769,F,DQ,designator1,designator2,10.000,0.369,1.114,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
3.170,3.920,R,DQ,designator1,designator2,10.000,0.520,1.130,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.954,3.966,F,DQ,designator1,designator2,10.000,0.566,1.346,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.990,4.021,R,DQ,designator1,designator2,10.000,0.621,1.310,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
2.797,4.083,F,DQ,designator1,designator2,10.000,0.683,1.503,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
6.041,1.403,R,DQ,designator1,designator2,10.000,0.003,0.259,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
6.107,1.357,F,DQ,designator1,designator2,10.000,-0.043,0.193,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
5.876,1.565,R,DQ,designator1,designator2,10.000,0.165,0.424,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.946,1.517,F,DQ,designator1,designator2,10.000,0.117,0.354,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.720,1.725,R,DQ,designator1,designator2,10.000,0.325,0.580,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.781,1.679,F,DQ,designator1,designator2,10.000,0.279,0.519,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.535,1.887,R,DQ,designator1,designator2,10.000,0.487,0.765,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.623,1.833,F,DQ,designator1,designator2,10.000,0.433,0.677,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.374,2.053,R,DQ,designator1,designator2,10.000,0.653,0.926,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
5.414,2.007,F,DQ,designator1,designator2,10.000,0.607,0.886,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
3.903,3.219,R,DQM,designator1,designator2,10.000,-0.181,0.397,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.665,3.232,F,DQM,designator1,designator2,10.000,-0.168,0.635,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.697,3.404,R,DQM,designator1,designator2,10.000,0.004,0.603,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.524,3.448,F,DQM,designator1,designator2,10.000,0.048,0.776,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.517,3.612,R,DQM,designator1,designator2,10.000,0.212,0.783,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
3.339,3.644,F,DQM,designator1,designator2,10.000,0.244,0.961,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
3.281,3.809,R,DQM,designator1,designator2,10.000,0.409,1.019,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
3.096,3.843,F,DQM,designator1,designator2,10.000,0.443,1.204,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
3.118,3.961,R,DQM,designator1,designator2,10.000,0.561,1.182,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
2.901,4.021,F,DQM,designator1,designator2,10.000,0.621,1.399,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
6.141,1.314,R,DQM,designator1,designator2,10.000,-0.086,0.159,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
6.212,1.267,F,DQM,designator1,designator2,10.000,-0.133,0.088,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
